Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","03/12/2023 02:29"
"Last updated:","03/12/2023 02:29"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:",Solutions
"Data table contains the following:",Solutions
"Content type","Total flow figures"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=56trCL
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Solution types included","RET,RDP,RST,NAT"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Returned refugees","Returned IDPss","Resettlement arrivals",Naturalisation
2018,Afghanistan,AFG,India,IND,110,-,-,68
2018,Afghanistan,AFG,Indonesia,IDN,45,-,-,-
2018,Afghanistan,AFG,"Iran (Islamic Rep. of)",IRN,1972,-,-,-
2018,Afghanistan,AFG,Pakistan,PAK,14017,-,-,-
2018,Afghanistan,AFG,Tajikistan,TJK,74,-,-,-
2018,Burundi,BDI,"Burkina Faso",BFA,5,-,-,-
2018,Burundi,BDI,"Dem. Rep. of the Congo",COD,180,-,-,-
2018,Burundi,BDI,Kenya,KEN,586,-,-,-
2018,Burundi,BDI,"United Rep. of Tanzania",TZA,44763,-,-,-
2018,"Central African Rep.",CAF,Benin,BEN,87,-,-,-
2018,"Central African Rep.",CAF,"Burkina Faso",BFA,19,-,-,-
2018,"Central African Rep.",CAF,Chad,TCD,10066,-,-,-
2018,"Central African Rep.",CAF,Cameroon,CMR,17116,-,-,-
2018,"Central African Rep.",CAF,Congo,COG,3536,-,-,-
2018,"Central African Rep.",CAF,"Dem. Rep. of the Congo",COD,4285,-,-,-
2018,"Central African Rep.",CAF,"Cote d'Ivoire",CIV,14,-,-,-
2018,"Central African Rep.",CAF,Mauritania,MRT,9,-,-,-
2018,"Central African Rep.",CAF,Mali,MLI,27,-,-,-
2018,"Central African Rep.",CAF,Nigeria,NGA,8,-,-,-
2018,"Central African Rep.",CAF,Senegal,SEN,9,-,-,-
2018,"Central African Rep.",CAF,Togo,TGO,6,-,-,-
2018,Chad,TCD,"Central African Rep.",CAF,1543,-,-,-
2018,Chad,TCD,Gabon,GAB,5,-,-,7
2018,Chad,TCD,Sudan,SDN,4804,-,-,-
2018,"Dem. Rep. of the Congo",COD,Angola,AGO,1658,-,-,-
2018,"Dem. Rep. of the Congo",COD,"Central African Rep.",CAF,2544,-,-,-
2018,"Dem. Rep. of the Congo",COD,Cameroon,CMR,24,-,-,-
2018,"Dem. Rep. of the Congo",COD,Ghana,GHA,9,-,-,-
2018,"Dem. Rep. of the Congo",COD,Mali,MLI,5,-,-,-
2018,"Dem. Rep. of the Congo",COD,Zambia,ZMB,2383,-,-,-
2018,Colombia,COL,Ecuador,ECU,26,-,-,-
2018,Colombia,COL,"Venezuela (Bolivarian Republic of)",VEN,23870,-,-,-
2018,Eritrea,ERI,Israel,ISR,297,-,-,-
2018,Ethiopia,ETH,Kenya,KEN,16,-,-,-
2018,Croatia,HRV,"Bosnia and Herzegovina",BIH,5,-,-,-
2018,Croatia,HRV,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,5,-,-,-
2018,"Cote d'Ivoire",CIV,Ghana,GHA,298,-,-,-
2018,"Cote d'Ivoire",CIV,Guinea,GIN,1161,-,-,-
2018,"Cote d'Ivoire",CIV,Liberia,LBR,991,-,-,-
2018,"Cote d'Ivoire",CIV,Mali,MLI,95,-,-,-
2018,"Cote d'Ivoire",CIV,Togo,TGO,292,-,-,-
2018,"Iran (Islamic Rep. of)",IRN,Indonesia,IDN,8,-,-,-
2018,Iraq,IRQ,India,IND,15,-,-,-
2018,Iraq,IRQ,Indonesia,IDN,35,-,-,-
2018,Iraq,IRQ,"Iran (Islamic Rep. of)",IRN,12,-,-,-
2018,"Sri Lanka",LKA,India,IND,1382,-,-,-
2018,"Sri Lanka",LKA,Indonesia,IDN,32,-,-,-
